QueryID,BestEvalue,FASTA_Header,UniProt_ID,DrugBank_IDs
drugbank_target|O00408,3.99e-109,"drugbank_target|O00408 cGMP-dependent 3',5'-cyclic phosphodiesterase (DB00201)",O00408,DB00201
drugbank_target|O00418,2.72e-158,drugbank_target|O00418 Eukaryotic elongation factor 2 kinase (DB01259),O00418,DB01259
drugbank_target|O00444,1.89e-62,drugbank_target|O00444 Serine/threonine-protein kinase PLK4 (DB12010),O00444,DB12010
drugbank_target|O00469,0,"drugbank_target|O00469 Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (DB00126)",O00469,DB00126
drugbank_target|O00519,5.79e-81,drugbank_target|O00519 Fatty-acid amide hydrolase 1 (DB00599; DB12010),O00519,DB00599;DB12010
drugbank_target|O00555,0,drugbank_target|O00555 Voltage-dependent P/Q-type calcium channel subunit alpha-1A (DB13746),O00555,DB00153;DB00228;DB00252;DB00421;DB00622;DB00653;DB00661;DB00825;DB00836;DB01054;DB01244;DB04841;DB06283;DB06751;DB09089;DB09236;DB09238;DB11148;DB13746
drugbank_target|O00591,9.83e-63,drugbank_target|O00591 Gamma-aminobutyric acid receptor subunit pi (DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00252; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00543; DB00555; DB00603; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01043; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01708; DB01956; DB05087; DB09118; DB11859; DB11901; DB12404; DB12537; DB13872; DB15490),O00591,DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00252;DB00292;DB00306;DB00312;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00555;DB00603;DB00628;DB00683;DB00690;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB00898;DB01028;DB01043;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01544;DB01558;DB01559;DB01587;DB01588;DB01589;DB01595;DB01708;DB01956;DB05087;DB09118;DB11859;DB11901;DB12404;DB12537;DB13872;DB15490
drugbank_target|O00750,2.69e-73,drugbank_target|O00750 Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (DB12010),O00750,DB12010
drugbank_target|O00763,0,drugbank_target|O00763 Acetyl-CoA carboxylase 2 (DB00121; DB00173; DB00331),O00763,DB00121;DB00173;DB00331
drugbank_target|O00764,6.03e-68,drugbank_target|O00764 Pyridoxal kinase (DB00165),O00764,DB00165
drugbank_target|O14521,1.67e-11,"drugbank_target|O14521 Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial (DB00756)",O14521,DB00756
drugbank_target|O14556,1.49e-139,"drugbank_target|O14556 Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (DB00157; DB01593; DB11638; DB14487; DB14533; DB14548)",O14556,DB00157;DB01593;DB11638;DB14487;DB14533;DB14548
drugbank_target|O14561,5.93e-30,"drugbank_target|O14561 Acyl carrier protein, mitochondrial (DB00157)",O14561,DB00157
drugbank_target|O14578,2.28e-84,drugbank_target|O14578 Citron Rho-interacting kinase (DB12010),O14578,DB12010
drugbank_target|O14594,7.03e-19,drugbank_target|O14594 Neurocan core protein (DB08818),O14594,DB08818
drugbank_target|O14618,1.03e-42,drugbank_target|O14618 Copper chaperone for superoxide dismutase (DB01593; DB14487; DB14533; DB14548),O14618,DB01593;DB14487;DB14533;DB14548
drugbank_target|O14649,6.87e-86,drugbank_target|O14649 Potassium channel subfamily K member 3 (DB00561; DB01159),O14649,DB00561;DB01159
drugbank_target|O14717,1.55e-27,drugbank_target|O14717 tRNA (cytosine(38)-C(5))-methyltransferase (DB00738; DB09462),O14717,DB00738;DB09462
drugbank_target|O14730,5.79e-74,drugbank_target|O14730 Serine/threonine-protein kinase RIO3 (DB12010),O14730,DB12010
drugbank_target|O14732,6.31e-41,drugbank_target|O14732 Inositol monophosphatase 2 (DB14507; DB14509),O14732,DB14507;DB14509
drugbank_target|O14757,2e-96,drugbank_target|O14757 Serine/threonine-protein kinase Chk1 (DB12010),O14757,DB12010
drugbank_target|O14764,5.24e-66,drugbank_target|O14764 Gamma-aminobutyric acid receptor subunit delta (DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00252; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00543; DB00555; DB00603; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01043; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01708; DB01956; DB05087; DB09118; DB11859; DB11901; DB12404; DB12537; DB13872; DB15490),O14764,DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00252;DB00292;DB00306;DB00312;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00555;DB00603;DB00628;DB00683;DB00690;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB00898;DB01028;DB01043;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01544;DB01558;DB01559;DB01587;DB01588;DB01589;DB01595;DB01708;DB01956;DB05087;DB09118;DB11859;DB11901;DB12404;DB12537;DB13872;DB15490
drugbank_target|O14832,1.48e-134,"drugbank_target|O14832 Phytanoyl-CoA dioxygenase, peroxisomal (DB00025; DB00126; DB13998; DB13999)",O14832,DB00025;DB00126;DB13998;DB13999
drugbank_target|O14841,0,drugbank_target|O14841 5-oxoprolinase (DB00142),O14841,DB00142
drugbank_target|O14842,9.1e-07,drugbank_target|O14842 Free fatty acid receptor 1 (DB00132; DB00159),O14842,DB00132;DB00159
drugbank_target|O14920,5.24e-28,drugbank_target|O14920 Inhibitor of nuclear factor kappa-B kinase subunit beta (DB00244; DB00795; DB00945; DB00995; DB01169; DB06151; DB12010; DB13063),O14920,DB00244;DB00795;DB00945;DB00995;DB01169;DB06151;DB12010;DB13063
drugbank_target|O14936,1.87e-75,drugbank_target|O14936 Peripheral plasma membrane protein CASK (DB12010),O14936,DB12010
drugbank_target|O14939,7.52e-121,drugbank_target|O14939 Phospholipase D2 (DB00122; DB14006),O14939,DB00122;DB14006
drugbank_target|O14958,7.49e-36,drugbank_target|O14958 Calsequestrin-2 (DB11093; DB11348; DB14481),O14958,DB11093;DB11348;DB14481
drugbank_target|O14964,5.15e-122,drugbank_target|O14964 Hepatocyte growth factor-regulated tyrosine kinase substrate (DB04272),O14964,DB04272
drugbank_target|O14965,5.45e-77,drugbank_target|O14965 Aurora kinase A (DB12010),O14965,DB12010
drugbank_target|O14976,3.29e-87,drugbank_target|O14976 Cyclin-G-associated kinase (DB12010),O14976,DB12010
drugbank_target|O14980,0,drugbank_target|O14980 Exportin-1 (DB11942),O14980,DB11942
drugbank_target|O14983,0,drugbank_target|O14983 Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (DB00867; DB01189; DB01236),O14983,DB00228;DB00867;DB01189;DB01236
drugbank_target|O15067,0,drugbank_target|O15067 Phosphoribosylformylglycinamidine synthase (DB00142),O15067,DB00142
drugbank_target|O15075,6.82e-86,drugbank_target|O15075 Serine/threonine-protein kinase DCLK1 (DB12010),O15075,DB12010
drugbank_target|O15111,1.16e-24,drugbank_target|O15111 Inhibitor of nuclear factor kappa-B kinase subunit alpha (DB00233; DB00244; DB00795; DB06151),O15111,DB00233;DB00244;DB00795;DB06151
drugbank_target|O15146,2.46e-55,"drugbank_target|O15146 Muscle, skeletal receptor tyrosine-protein kinase (DB12010)",O15146,DB12010
drugbank_target|O15197,2.73e-83,drugbank_target|O15197 Ephrin type-B receptor 6 (DB12010),O15197,DB12010
drugbank_target|O15217,9.81e-23,drugbank_target|O15217 Glutathione S-transferase A4 (DB00143),O15217,DB00143
drugbank_target|O15264,1.27e-102,drugbank_target|O15264 Mitogen-activated protein kinase 13 (DB01017),O15264,DB01017;DB12010
drugbank_target|O15269,1.69e-102,drugbank_target|O15269 Serine palmitoyltransferase 1 (DB00114),O15269,DB00114
drugbank_target|O15270,2.12e-173,drugbank_target|O15270 Serine palmitoyltransferase 2 (DB00114),O15270,DB00114
drugbank_target|O15342,2.32e-22,drugbank_target|O15342 V-type proton ATPase subunit e 1 (DB01133),O15342,DB01133
drugbank_target|O15350,1.87e-13,drugbank_target|O15350 Tumor protein p73 (DB01593; DB14487; DB14533; DB14548),O15350,DB01593;DB14487;DB14533;DB14548
drugbank_target|O15374,7.84e-25,drugbank_target|O15374 Monocarboxylate transporter 5 (DB00119),O15374,DB00119
drugbank_target|O15375,1.12e-28,drugbank_target|O15375 Monocarboxylate transporter 6 (DB00119),O15375,DB00119
drugbank_target|O15379,0,drugbank_target|O15379 Histone deacetylase 3 (DB00313; DB01262; DB02546; DB05015; DB06176; DB06603; DB06819; DB12645),O15379,DB00313;DB01262;DB02546;DB05015;DB06176;DB06603;DB06819;DB12645
drugbank_target|O15382,1.07e-128,"drugbank_target|O15382 Branched-chain-amino-acid aminotransferase, mitochondrial (DB00114; DB00142)",O15382,DB00114;DB00142
drugbank_target|O15393,4.3e-44,drugbank_target|O15393 Transmembrane protease serine 2 (DB09019),O15393,DB09019
drugbank_target|O15399,2.1e-98,"drugbank_target|O15399 Glutamate receptor ionotropic, NMDA 2D (DB00193; DB00289; DB00312; DB00333; DB00418; DB00647; DB00843; DB00874; DB01174; DB01708; DB04896; DB11823)",O15399,DB00142;DB00193;DB00228;DB00289;DB00312;DB00333;DB00418;DB00454;DB00647;DB00659;DB00843;DB00874;DB01043;DB01173;DB01174;DB01238;DB01708;DB04896;DB06151;DB09409;DB09481;DB11823;DB13146
drugbank_target|O15403,1.97e-31,drugbank_target|O15403 Monocarboxylate transporter 7 (DB00119),O15403,DB00119
drugbank_target|O15427,5.03e-32,drugbank_target|O15427 Monocarboxylate transporter 4 (DB00119),O15427,DB00119
drugbank_target|O15528,1.08e-53,"drugbank_target|O15528 25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial (DB01436)",O15528,DB01436
drugbank_target|O15530,3.57e-76,drugbank_target|O15530 3-phosphoinositide-dependent protein kinase 1 (DB00482; DB12010),O15530,DB00482;DB12010
drugbank_target|O15540,3.87e-24,"drugbank_target|O15540 Fatty acid-binding protein, brain (DB00159)",O15540,DB00159
drugbank_target|O15554,5.45e-86,drugbank_target|O15554 Intermediate conductance calcium-activated potassium channel protein 4 (DB00721; DB00867; DB01054; DB01110; DB09089),O15554,DB00257;DB00468;DB00721;DB00867;DB01054;DB01110;DB01159;DB09089
drugbank_target|O24990,1.01e-10,drugbank_target|O24990 Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (DB08604),O24990,DB08604
drugbank_target|O25926,4.2e-92,drugbank_target|O25926 ATP-dependent Clp protease ATP-binding subunit ClpX (DB09275),O25926,DB09275
drugbank_target|O31168,4.11e-11,drugbank_target|O31168 Non-heme chloroperoxidase (DB03793),O31168,DB03793
drugbank_target|O31616,4.55e-14,drugbank_target|O31616 Glycine oxidase (DB03147),O31616,DB03147
drugbank_target|O34002,6.49e-21,drugbank_target|O34002 2-methylcitrate synthase (DB04272),O34002,DB04272
drugbank_target|O43175,2.21e-114,drugbank_target|O43175 D-3-phosphoglycerate dehydrogenase (DB00157),O43175,DB00157
drugbank_target|O43181,2.98e-40,"drugbank_target|O43181 NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (DB00157)",O43181,DB00157
drugbank_target|O43193,8.39e-44,drugbank_target|O43193 Motilin receptor (DB00199),O43193,DB00199
drugbank_target|O43246,9.6e-134,drugbank_target|O43246 Cationic amino acid transporter 4 (DB00123),O43246,DB00123
drugbank_target|O43252,0,drugbank_target|O43252 Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (DB09462),O43252,DB09462
drugbank_target|O43283,7.22e-134,drugbank_target|O43283 Mitogen-activated protein kinase kinase kinase 13 (DB12010),O43283,DB12010
drugbank_target|O43293,1.78e-79,drugbank_target|O43293 Death-associated protein kinase 3 (DB12010),O43293,DB12010
drugbank_target|O43353,9.49e-28,drugbank_target|O43353 Receptor-interacting serine/threonine-protein kinase 2 (DB12010),O43353,DB12010
drugbank_target|O43451,3.03e-174,drugbank_target|O43451 Maltase-glucoamylase (DB00284; DB00491),O43451,DB00284;DB00491
drugbank_target|O43497,0,drugbank_target|O43497 Voltage-dependent T-type calcium channel subunit alpha-1G (DB01115; DB06712; DB09089; DB09238; DB13746),O43497,DB00153;DB00228;DB00347;DB00568;DB00593;DB00617;DB00622;DB00661;DB00909;DB01115;DB04841;DB05246;DB06712;DB09061;DB09089;DB09238;DB11148;DB13746
drugbank_target|O43525,2.32e-81,drugbank_target|O43525 Potassium voltage-gated channel subfamily KQT member 3 (DB00228; DB01069; DB01110),O43525,DB00228;DB00321;DB00939;DB00996;DB01069;DB01110;DB04953
drugbank_target|O43526,8.21e-57,drugbank_target|O43526 Potassium voltage-gated channel subfamily KQT member 2 (DB00228; DB01069; DB01110),O43526,DB00228;DB00321;DB00939;DB01069;DB01110;DB04953
drugbank_target|O43570,5.52e-36,drugbank_target|O43570 Carbonic anhydrase 12 (DB00562; DB00774; DB00819; DB00909; DB00936; DB03255; DB06795; DB11085; DB11672; DB14086),O43570,DB00562;DB00774;DB00819;DB00909;DB00936;DB03255;DB06795;DB11085;DB11672;DB14086
drugbank_target|O43613,1.18e-33,drugbank_target|O43613 Orexin/Hypocretin receptor type 1 (DB09034; DB11951; DB15031),O43613,DB09034;DB11951;DB15031
drugbank_target|O43614,9.11e-40,drugbank_target|O43614 Orexin receptor type 2 (DB09034; DB11951; DB15031),O43614,DB09034;DB11951;DB15031
drugbank_target|O43617,5.94e-54,drugbank_target|O43617 Trafficking protein particle complex subunit 3 (DB03796),O43617,DB03796
drugbank_target|O43674,3.29e-10,"drugbank_target|O43674 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial (DB00157)",O43674,DB00157
drugbank_target|O43678,7.55e-27,drugbank_target|O43678 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (DB00157),O43678,DB00157
drugbank_target|O43708,6.86e-62,drugbank_target|O43708 Maleylacetoacetate isomerase (DB00143; DB08809; DB09462),O43708,DB00143;DB08809;DB09462
drugbank_target|O43741,2.56e-37,drugbank_target|O43741 5'-AMP-activated protein kinase subunit beta-2 (DB00131; DB00945; DB12010),O43741,DB00131;DB00945;DB12010
drugbank_target|O43766,4.61e-146,"drugbank_target|O43766 Lipoyl synthase, mitochondrial (DB00166)",O43766,DB00166
drugbank_target|O43772,8.37e-110,drugbank_target|O43772 Mitochondrial carnitine/acylcarnitine carrier protein (DB00583),O43772,DB00583
drugbank_target|O43776,0,"drugbank_target|O43776 Asparagine--tRNA ligase, cytoplasmic (DB00174)",O43776,DB00174
drugbank_target|O43837,1.33e-102,"drugbank_target|O43837 Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (DB00157; DB13874; DB17097)",O43837,DB00157;DB13874;DB17097
drugbank_target|O43920,5.83e-09,drugbank_target|O43920 NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (DB00157),O43920,DB00157
drugbank_target|O60285,1.18e-84,drugbank_target|O60285 NUAK family SNF1-like kinase 1 (DB12010),O60285,DB12010
drugbank_target|O60391,9.22e-81,"drugbank_target|O60391 Glutamate receptor ionotropic, NMDA 3B (DB00193; DB00289; DB00312; DB00333; DB00418; DB00647; DB00843; DB00874; DB01174; DB01708; DB04896; DB11823)",O60391,DB00145;DB00193;DB00228;DB00289;DB00312;DB00333;DB00418;DB00647;DB00659;DB00843;DB00874;DB01043;DB01159;DB01173;DB01174;DB01238;DB01708;DB04896;DB09409;DB09481;DB11823;DB13146
drugbank_target|O60427,3.11e-30,drugbank_target|O60427 Acyl-CoA (8-3)-desaturase (DB00132; DB00159),O60427,DB00132;DB00159
drugbank_target|O60488,0,drugbank_target|O60488 Long-chain-fatty-acid--CoA ligase 4 (DB00159; DB00197; DB00412),O60488,DB00159;DB00197;DB00412
drugbank_target|O60502,1.59e-76,drugbank_target|O60502 Protein O-GlcNAcase (DB00428),O60502,DB00428
drugbank_target|O60513,1.61e-75,"drugbank_target|O60513 Beta-1,4-galactosyltransferase 4 (DB00141)",O60513,DB00141
drugbank_target|O60568,0,drugbank_target|O60568 Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 (DB00126),O60568,DB00126
drugbank_target|O60658,1.64e-52,"drugbank_target|O60658 High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A (DB00201)",O60658,DB00201
drugbank_target|O60669,6.42e-28,drugbank_target|O60669 Monocarboxylate transporter 2 (DB00119),O60669,DB00119
drugbank_target|O60674,1.96e-39,drugbank_target|O60674 Tyrosine-protein kinase JAK2 (DB08877; DB08895; DB11697; DB11763; DB11817; DB11986; DB12010; DB12500; DB12645; DB13245; DB14973; DB15035; DB15822),O60674,DB08877;DB08895;DB11697;DB11763;DB11817;DB11986;DB12010;DB12500;DB12645;DB13245;DB14973;DB15035;DB15822
drugbank_target|O60701,0,drugbank_target|O60701 UDP-glucose 6-dehydrogenase (DB00157; DB09130),O60701,DB00157;DB09130
drugbank_target|O60706,1.22e-161,drugbank_target|O60706 ATP-binding cassette sub-family C member 9 (DB00222; DB00912; DB01016; DB01124; DB09220),O60706,DB00222;DB00912;DB01016;DB01124;DB09220
drugbank_target|O60760,2.04e-40,drugbank_target|O60760 Hematopoietic prostaglandin D synthase (DB03310; DB03619),O60760,DB00143;DB01058;DB03310;DB03619
drugbank_target|O60840,0,drugbank_target|O60840 Voltage-dependent L-type calcium channel subunit alpha-1F (DB00243; DB00273; DB01110; DB01118; DB06712; DB13961),O60840,DB00153;DB00228;DB00243;DB00252;DB00273;DB00393;DB00421;DB00568;DB00622;DB00653;DB00661;DB00825;DB01054;DB01110;DB01118;DB04855;DB04920;DB06712;DB06751;DB09089;DB09236;DB09238;DB11148;DB13746;DB13961
drugbank_target|O60931,8.64e-77,drugbank_target|O60931 Cystinosin (DB00138),O60931,DB00138
drugbank_target|O69755,1.18e-24,drugbank_target|O69755 Phenazine biosynthesis protein (DB03247),O69755,DB03247
drugbank_target|O75116,1.26e-151,drugbank_target|O75116 Rho-associated protein kinase 2 (DB12010; DB13931; DB16703),O75116,DB12010;DB13931;DB16703
drugbank_target|O75185,0,drugbank_target|O75185 Calcium-transporting ATPase type 2C member 2 (DB00867; DB01189; DB01236),O75185,DB00867;DB01189;DB01236
drugbank_target|O75251,4.68e-49,"drugbank_target|O75251 NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial (DB00157)",O75251,DB00157
drugbank_target|O75306,0,"drugbank_target|O75306 NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (DB00157)",O75306,DB00157
drugbank_target|O75311,3.09e-98,drugbank_target|O75311 Glycine receptor subunit alpha-3 (DB00145; DB00431; DB01956; DB09061),O75311,DB00145;DB00431;DB01956;DB09061
drugbank_target|O75340,8.44e-67,drugbank_target|O75340 Programmed cell death protein 6 (DB01593; DB11093; DB11348; DB14481; DB14487),O75340,DB01593;DB11093;DB11348;DB14481;DB14487
drugbank_target|O75343,6e-123,drugbank_target|O75343 Guanylate cyclase soluble subunit beta-2 (DB09401),O75343,DB09401
drugbank_target|O75348,2.55e-28,drugbank_target|O75348 V-type proton ATPase subunit G 1 (DB01133),O75348,DB01133
drugbank_target|O75380,7.23e-19,"drugbank_target|O75380 NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (DB00157)",O75380,DB00157
drugbank_target|O75385,5.35e-103,drugbank_target|O75385 Serine/threonine-protein kinase ULK1 (DB12010),O75385,DB12010
drugbank_target|O75390,0,"drugbank_target|O75390 Citrate synthase, mitochondrial (DB04272)",O75390,DB04272
drugbank_target|O75417,2.83e-79,drugbank_target|O75417 DNA polymerase theta (DB12151),O75417,DB12151
drugbank_target|O75460,2.32e-158,drugbank_target|O75460 Serine/threonine-protein kinase/endoribonuclease IRE1 (DB12010),O75460,DB12010
drugbank_target|O75469,7.26e-25,drugbank_target|O75469 Nuclear receptor subfamily 1 group I member 2 (DB00163; DB00239; DB00252; DB00255; DB00257; DB00312; DB00421; DB00431; DB00499; DB00503; DB00530; DB00531; DB00532; DB00564; DB00675; DB00682; DB00754; DB00783; DB00834; DB00849; DB00977; DB01026; DB01039; DB01045; DB01068; DB01110; DB01115; DB01127; DB01138; DB01174; DB01181; DB01220; DB01229; DB01234; DB01248; DB01393; DB01708; DB02789; DB04824; DB04930; DB06777; DB08604; DB08864; DB11087; DB11605; DB13179; DB13873; DB13952; DB13953; DB13954; DB13955; DB13956; DB14001; DB14002; DB14649),O75469,DB00163;DB00239;DB00252;DB00255;DB00257;DB00312;DB00421;DB00431;DB00499;DB00503;DB00530;DB00531;DB00532;DB00564;DB00675;DB00682;DB00754;DB00783;DB00834;DB00849;DB00977;DB01026;DB01039;DB01045;DB01068;DB01110;DB01115;DB01127;DB01138;DB01174;DB01181;DB01220;DB01229;DB01234;DB01248;DB01393;DB01708;DB02789;DB04824;DB04930;DB06777;DB08604;DB08864;DB11087;DB11605;DB13179;DB13873;DB13952;DB13953;DB13954;DB13955;DB13956;DB14001;DB14002;DB14649
drugbank_target|O75489,8.27e-50,"drugbank_target|O75489 NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (DB00157)",O75489,DB00157
